issue_id,tool,rule,category,severity,path,line,line_text,message,reported_commit,reported_committer,dataset_phase,module,scope,provenance,provenance_evidence,present_at_intermediate_head_cb19910,present_at_final_validation_head,disposition
730b13559a91582144ea587833746afd,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/view/PacketEventsEntityView.java,51,"    public void insertEntity(UUID world, PacketEventsEntity entity) {",Method PacketEventsEntityView::insertEntity has a cyclomatic complexity of 13 (limit is 8),dfcfe3576f088bff74e95e55cba650636c7758ea,Cubicake,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream ccn=13 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
b8edaf00e94c4d112fcf3b812634a7d2,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java,463,"    private void clearLeashReferencesForDestroyedEntity(int entityID, PlayerData playerData) {",Method PacketEntityViewController::clearLeashReferencesForDestroyedEntity has a cyclomatic complexity of 14 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=14 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
6e1d69e633bdc8e295b896282d8a245b,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java,708,"    protected void reconcileUnresolvedLeashes(NettyEntity<?> insertedEntity, PlayerData playerData) {",Method PacketEntityViewController::reconcileUnresolvedLeashes has a cyclomatic complexity of 9 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=9 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
b0f2f06af6c9d181a884d305a04fa5e9,Lizard,Lizard_nloc-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewControllerTest.java,89,    private static EntityView<?> entityView(boolean playerView) {,Method PacketEntityViewControllerTest::entityView has 60 lines of code (limit is 50),e91dc4647d53e2f24ee26a956fdc91e9a3b09135,Cubicake,initial,Core,Tests,UPSTREAM,same symbol upstream nloc=60 > 50,yes,yes,remaining; reproduced against authoritative upstream baseline
1dc0499b2f8276e56e90f42173b41c5b,Lizard,Lizard_parameter-count-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/chunkparser/AbstractChunkParser.java,171,"    private boolean processTileEntity(BlockView blockView, UUID world, int blockOriginX, int blockOriginZ,",Method AbstractChunkParser::processTileEntity has 9 parameters (limit is 8),4013fe7b64d32df33ecfe22db3b66ee0aa09397a,P2wn,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream params=9 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
8b5a410b2748c9dbe886d80e49befffc,Lizard,Lizard_nloc-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/PacketEventsRespawnStateInvalidator.java,23,    public static boolean invalidateIfRespawn(PacketSendEvent event) {,Method PacketEventsRespawnStateInvalidator::invalidateIfRespawn has 56 lines of code (limit is 50),59c433bfd4e8c61cc7aed7fca90782529b7e24d8,P2wn,initial,PacketEvents,Production code,PIECLOAK,symbol absent upstream,no,no,fixed by package 10 remediation
d4280d73b98205c9ef9eba43640556f6,Lizard,Lizard_nloc-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java,280,"    boolean handleEntityPassengersNow(NettyEntity<?> entity, int[] passengers, PlayerData playerData, int currentTick) {",Method PacketEntityViewController::handleEntityPassengersNow has 59 lines of code (limit is 50),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream nloc=54 > 50,yes,yes,remaining; reproduced against authoritative upstream baseline
7d108e13a4fee0933ea15b11076dafd6,Lizard,Lizard_ccn-medium,Complexity,Warning,packetevents/src/main/java/games/cubi/raycastedantiesp/packetevents/viewcontrollers/chunkparser/AbstractChunkParser.java,171,"    private boolean processTileEntity(BlockView blockView, UUID world, int blockOriginX, int blockOriginZ,",Method AbstractChunkParser::processTileEntity has a cyclomatic complexity of 11 (limit is 8),4013fe7b64d32df33ecfe22db3b66ee0aa09397a,P2wn,initial,PacketEvents,Production code,UPSTREAM,same symbol upstream ccn=11 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
cd17d1015e4df0c2076784567ce05608,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/test/java/games/cubi/raycastedantiesp/core/view/PackedTransitionQueueTest.java,267,    private static <T> T proxy(Class<T> type) {,Method PackedTransitionQueueTest::proxy has a cyclomatic complexity of 9 (limit is 8),3d8686e1ae953dc1ebfdffcad1c40bd675bc4c49,Cubicake,initial,Core,Tests,UPSTREAM,same symbol upstream ccn=9 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
bb1d8278d9dfdb7f3cbdc49a50e9d4ca,Lizard,Lizard_ccn-medium,Complexity,Warning,core/src/main/java/games/cubi/raycastedantiesp/core/view/controller/PacketEntityViewController.java,118,"    protected boolean handleEntitySpawn0(P packet, boolean isPlayer, PlayerData playerData, UUID world, int currentTick) {",Method PacketEntityViewController::handleEntitySpawn0 has a cyclomatic complexity of 14 (limit is 8),18f08ab7d70f3b5c4b7a0addc1e777e310381086,P2wn,initial,Core,Production code,UPSTREAM,same symbol upstream ccn=13 > 8,yes,yes,remaining; reproduced against authoritative upstream baseline
